Provinsi,Domisili,Tahun,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,Dalam,2018,1,SMA NEGERI 30,IPS,Pilihan 3,107
Jakarta,Dalam,2018,1,SMA NEGERI 31,IPA,Pilihan 1,160
Jakarta,Dalam,2018,1,SMA NEGERI 31,IPA,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 31,IPA,Pilihan 3,121
Jakarta,Dalam,2018,1,SMA NEGERI 31,IPS,Pilihan 1,160
Jakarta,Dalam,2018,1,SMA NEGERI 31,IPS,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 31,IPS,Pilihan 3,121
Jakarta,Dalam,2018,1,SMA NEGERI 31,BAHASA,Pilihan 1,160
Jakarta,Dalam,2018,1,SMA NEGERI 31,BAHASA,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 31,BAHASA,Pilihan 3,121
Jakarta,Dalam,2018,1,SMA NEGERI 32,IPA,Pilihan 1,116
Jakarta,Dalam,2018,1,SMA NEGERI 32,IPA,Pilihan 2,113
Jakarta,Dalam,2018,1,SMA NEGERI 32,IPA,Pilihan 3,125
Jakarta,Dalam,2018,1,SMA NEGERI 32,IPS,Pilihan 1,116
Jakarta,Dalam,2018,1,SMA NEGERI 32,IPS,Pilihan 2,113
Jakarta,Dalam,2018,1,SMA NEGERI 32,IPS,Pilihan 3,125
Jakarta,Dalam,2018,1,SMA NEGERI 33,IPA,Pilihan 1,286
Jakarta,Dalam,2018,1,SMA NEGERI 33,IPA,Pilihan 2,29
Jakarta,Dalam,2018,1,SMA NEGERI 33,IPA,Pilihan 3,33
Jakarta,Dalam,2018,1,SMA NEGERI 33,IPS,Pilihan 1,286
Jakarta,Dalam,2018,1,SMA NEGERI 33,IPS,Pilihan 2,29
Jakarta,Dalam,2018,1,SMA NEGERI 33,IPS,Pilihan 3,33
Jakarta,Dalam,2018,1,SMA NEGERI 33,BAHASA,Pilihan 1,286
Jakarta,Dalam,2018,1,SMA NEGERI 33,BAHASA,Pilihan 2,29
Jakarta,Dalam,2018,1,SMA NEGERI 33,BAHASA,Pilihan 3,33
Jakarta,Dalam,2018,1,SMA NEGERI 34,IPA,Pilihan 1,276
Jakarta,Dalam,2018,1,SMA NEGERI 34,IPA,Pilihan 2,108
Jakarta,Dalam,2018,1,SMA NEGERI 34,IPA,Pilihan 3,34
Jakarta,Dalam,2018,1,SMA NEGERI 34,IPS,Pilihan 1,276
Jakarta,Dalam,2018,1,SMA NEGERI 34,IPS,Pilihan 2,108
Jakarta,Dalam,2018,1,SMA NEGERI 34,IPS,Pilihan 3,34
Jakarta,Dalam,2018,1,SMA NEGERI 35,IPA,Pilihan 1,108
Jakarta,Dalam,2018,1,SMA NEGERI 35,IPA,Pilihan 2,60
Jakarta,Dalam,2018,1,SMA NEGERI 35,IPA,Pilihan 3,42
Jakarta,Dalam,2018,1,SMA NEGERI 35,IPS,Pilihan 1,108
Jakarta,Dalam,2018,1,SMA NEGERI 35,IPS,Pilihan 2,60
Jakarta,Dalam,2018,1,SMA NEGERI 35,IPS,Pilihan 3,42
Jakarta,Dalam,2018,1,SMA NEGERI 35,BAHASA,Pilihan 1,108
Jakarta,Dalam,2018,1,SMA NEGERI 35,BAHASA,Pilihan 2,60
Jakarta,Dalam,2018,1,SMA NEGERI 35,BAHASA,Pilihan 3,42
Jakarta,Dalam,2018,1,SMA NEGERI 36,IPA,Pilihan 1,106
Jakarta,Dalam,2018,1,SMA NEGERI 36,IPA,Pilihan 2,97
Jakarta,Dalam,2018,1,SMA NEGERI 36,IPA,Pilihan 3,104
Jakarta,Dalam,2018,1,SMA NEGERI 36,IPS,Pilihan 1,106
Jakarta,Dalam,2018,1,SMA NEGERI 36,IPS,Pilihan 2,97
Jakarta,Dalam,2018,1,SMA NEGERI 36,IPS,Pilihan 3,104
Jakarta,Dalam,2018,1,SMA NEGERI 37,IPA,Pilihan 1,149
Jakarta,Dalam,2018,1,SMA NEGERI 37,IPA,Pilihan 2,116
Jakarta,Dalam,2018,1,SMA NEGERI 37,IPA,Pilihan 3,103
Jakarta,Dalam,2018,1,SMA NEGERI 37,IPS,Pilihan 1,149
Jakarta,Dalam,2018,1,SMA NEGERI 37,IPS,Pilihan 2,116
Jakarta,Dalam,2018,1,SMA NEGERI 37,IPS,Pilihan 3,103
Jakarta,Dalam,2018,1,SMA NEGERI 38,IPA,Pilihan 1,165
Jakarta,Dalam,2018,1,SMA NEGERI 38,IPA,Pilihan 2,143
Jakarta,Dalam,2018,1,SMA NEGERI 38,IPA,Pilihan 3,73
Jakarta,Dalam,2018,1,SMA NEGERI 38,IPS,Pilihan 1,165
Jakarta,Dalam,2018,1,SMA NEGERI 38,IPS,Pilihan 2,143
Jakarta,Dalam,2018,1,SMA NEGERI 38,IPS,Pilihan 3,73
Jakarta,Dalam,2018,1,SMA NEGERI 39,IPA,Pilihan 1,308
Jakarta,Dalam,2018,1,SMA NEGERI 39,IPA,Pilihan 2,22
Jakarta,Dalam,2018,1,SMA NEGERI 39,IPA,Pilihan 3,11
Jakarta,Dalam,2018,1,SMA NEGERI 39,IPS,Pilihan 1,308
Jakarta,Dalam,2018,1,SMA NEGERI 39,IPS,Pilihan 2,22
Jakarta,Dalam,2018,1,SMA NEGERI 39,IPS,Pilihan 3,11
Jakarta,Dalam,2018,1,SMA NEGERI 40,IPA,Pilihan 1,86
Jakarta,Dalam,2018,1,SMA NEGERI 40,IPA,Pilihan 2,59
Jakarta,Dalam,2018,1,SMA NEGERI 40,IPA,Pilihan 3,46
Jakarta,Dalam,2018,1,SMA NEGERI 40,IPS,Pilihan 1,86
Jakarta,Dalam,2018,1,SMA NEGERI 40,IPS,Pilihan 2,59
Jakarta,Dalam,2018,1,SMA NEGERI 40,IPS,Pilihan 3,46
Jakarta,Dalam,2018,1,SMA NEGERI 41,IPA,Pilihan 1,61
Jakarta,Dalam,2018,1,SMA NEGERI 41,IPA,Pilihan 2,144
Jakarta,Dalam,2018,1,SMA NEGERI 41,IPA,Pilihan 3,100
Jakarta,Dalam,2018,1,SMA NEGERI 41,IPS,Pilihan 1,61
Jakarta,Dalam,2018,1,SMA NEGERI 41,IPS,Pilihan 2,144
