Nomor,Tahun,Daerah,,Persentase Suara (%),No Pasangan,Jabatan,Nama,,Jumlah Suara,Persentase Suara (%),,wakil,,,,,
52,2018,Kabupaten Kudus,,2.24,4,Bupati,"H. Akhwan, Sh",,11315,2.24,,FALSE,1,,,,
52,2018,Kabupaten Kudus,Menang,42.51,5,Bupati,"Ir. H. Muhammad Tamzil, Mt",Menang,214313,42.51,Menang,FALSE,1,Menang,Menang,,
53,2018,Kabupaten Magelang,Menang,55.6,1,Bupati,"Zaenal Arifin, S.Ip",Menang,392996,55.6,Menang,FALSE,0,Menang,Menang,,
53,2018,Kabupaten Magelang,,44.4,2,Bupati,"H.M. Zaenal Arifin, Sh",,313817,44.4,,FALSE,1,,,,
54,2018,Kabupaten Tegal,,8.78,1,Bupati,H. Rusbandi,,6415,8.78,,FALSE,0,,,,
54,2018,Kabupaten Tegal,,20.26,2,Bupati,"Drs. H. Haron Bagas Prakosa, M.Hum",,148037,20.26,Menang,FALSE,1,Menang,Menang,,
54,2018,Kabupaten Tegal,Menang,70.95,3,Bupati,Dra. Hj. Umi Azizah,Menang,518327,70.95,Menang,FALSE,1,Menang,Menang,,
55,2018,Kabupaten Temanggung,,32.97,1,Bupati,Drs. H M Bambang Sukarno,,156964,32.97,Menang,FALSE,0,Menang,Menang,,
55,2018,Kabupaten Temanggung,,12.79,2,Bupati,Haryo Dewandono,,60894,12.79,,FALSE,1,,,,
55,2018,Kabupaten Temanggung,Menang,54.24,3,Bupati,H.M. Al Khadziq,Menang,258243,54.24,Menang,FALSE,1,Menang,Menang,,
56,2018,Kabupaten Bangkalan,,33.85,1,Bupati,"Dr. H. Moch. Farid Al Fauzi, St, Mm",,184358,33.85,Menang,FALSE,0,Menang,Menang,,
56,2018,Kabupaten Bangkalan,,21.37,2,Bupati,"H. Imam Buchori, Sh",,1164,21.37,,FALSE,1,,,,
56,2018,Kabupaten Bangkalan,Menang,44.78,3,Bupati,R. Abdul Latif Amin Imron,Menang,243939,44.78,Menang,FALSE,1,Menang,Menang,,
57,2018,Kabupaten Bojonegoro,,25.49,1,Bupati,"Drs. H. Soehadi Moeljono, Mm.",,187487,25.49,Menang,FALSE,0,Menang,Menang,,
57,2018,Kabupaten Bojonegoro,,19.44,2,Bupati,"Dra. Mahfudhoh, M.Si.",,142948,19.44,,FALSE,1,,,,
57,2018,Kabupaten Bojonegoro,Menang,30.56,3,Bupati,Dr. Hj. Anna Mu'Awanah,Menang,224756,30.56,Menang,FALSE,1,Menang,Menang,,
57,2018,Kabupaten Bojonegoro,,24.51,4,Bupati,"Drs. H. Basuki, M.Pd., M.Pd.I.",,180287,24.51,,FALSE,1,,,,
58,2018,Kabupaten Bondowoso,Menang,52.04,1,Bupati,Drs. Kh. Salwa Arifin,Menang,227521,52.04,Menang,FALSE,0,Menang,Menang,,
58,2018,Kabupaten Bondowoso,,47.96,2,Bupati,H. Ahmad Dhafir,,20965,47.96,,FALSE,1,,,,
