nama_kantor,wilayah_administrasi,kecamatan,kelurahan,alamat_kantor,latitude,longitude,telepon,faxsimile
Kantor Lurah Kebon Kelapa,Jakarta Pusat,Kec. Gambir,Kel. Kebon Kelapa,Jl. Batu Tulis VII No.21,-6.164012,106.825448,021 213522401,021 213522401
Kantor Lurah Gambir,Jakarta Pusat,Kec. Gambir,Kel. Gambir,Jalan Budi Kemulyaan No. 12,-6.179973,106.819697,021 3505141,021 3505141
Kantor Lurah Petojo Selatan,Jakarta Pusat,Kec. Gambir,Kel. Petojo Selatan,Jalan Petojo Melintang No. 19,-6.171851,106.81685,021 3862032,021 3520886
Kantor Lurah Duri Pulo,Jakarta Pusat,Kec. Gambir,Kel. Duri Pulo,Jl. Petojo Barat V No.12 RT.012/01,-6.163854,106.809278,021 6342880,021 6342880
Kantor Camat Sawah Besar,Jakarta Pusat,Kec. Sawah Besar,Kel. Karang Anyar,Jl. Karang Anyar Raya No. 12,-6.155388,106.827519,021 3853518,021 6280659
Kantor Lurah Mangga Dua Selatan,Jakarta Pusat,Kec. Sawah Besar,Kel. Mangga Dua Selatan,Jl. Mangga Dua Dalam 1,-6.137915,106.827144,021 6293296,021 6293296
Kantor Lurah Karang Anyar,Jakarta Pusat,Kec. Sawah Besar,Kel. Karang Anyar,Jl. B Raya No. l RT.007/05,-6.155777,106.828691,021 6291252,021 62310699
Kantor Lurah Pasar Baru,Jakarta Pusat,Kec. Sawah Besar,Kel. Pasar Baru,Jl. Krekot Jaya I No. 4 C,-6.161219,106.829782,021 3459460,021 3459460
Kantor Lurah Gunung Sahari Utara,Jakarta Pusat,Kec. Sawah Besar,Kel. Gunung Sahari Utara,Jl. Gunung Sahari VII A No. 30,-6.153018,106.838682,021 6268786,021 62200474
Kantor Lurah Kartini,Jakarta Pusat,Kec. Sawah Besar,Kel. Kartini,Jalan Kartini VIII Dalam No. 18,-6.153121,106.831764,021 6292096,021 62201172
Kantor Camat Kemayoran,Jakarta Pusat,Kec. Kemayoran ,Kel. Serdang,Jl. Serdang III No. 1 RT 006/05,-6.156492,106.863806,021 4203642,021 4203642
Kantor Lurah Gunung Sahari Selatan,Jakarta Pusat,Kec. Kemayoran ,Kel. Gunung Sahari Selatan,Jl. Kran Raya No. 77 RT. 01 RW.06 ,-6.160784,106.845892,021 4244445,021 427460
Kantor Lurah Kebon Kosong,Jakarta Pusat,Kec. Kemayoran ,Kel. Kebon Kosong,Jl. Dakota II RT. 009/09,-6.153446,106.858347,021 4244825,021 4244825
Kantor Lurah Kemayoran,Jakarta Pusat,Kec. Kemayoran ,Kel. Kemayoran,Jalan Kepu Barat No. 5,-6.16781,106.843681,021 4214661,021 4214661
Kantor Lurah Serdang,Jakarta Pusat,Kec. Kemayoran ,Kel. Serdang,Jl. Bendungan Jago RT. 013 RW. 02,-6.157309,106.857179,021 4214664,021 4244247
Kantor Lurah Harapan Mulia,Jakarta Pusat,Kec. Kemayoran ,Kel. Harapan Mulia ,Jl. Cempaka Wangi II No.17 RT.011 RW.09 ,-6.167916,106.857563,021 4243768,021 4214774
Kantor Lurah Utan Panjang,Jakarta Pusat,Kec. Kemayoran ,Kel. Utan Panjang,Jalan D. Bendungan Jago No.49,-6.162565,106.855051,021 4208454,021 4214637
Kantor Lurah Cempaka Baru,Jakarta Pusat,Kec. Kemayoran ,Kel. Cempaka Baru,Jl. Cempaka Baru II RT. 008 RW. 06 ,-6.169854,106.859387,021 4244248,021 4214638
Kantor Lurah Sumur Batu,Jakarta Pusat,Kec. Kemayoran ,Kel. Sumur Batu,Jalan Howitzer Raya No.5A RT.010/06,-6.164499,106.871243,021 4214748,021 4213489
Kantor Camat Senen,Jakarta Pusat,Kec. Senen,Kel. Kwitang,Jl. Kramat Raya No.114 RT.002/09,-6.183552,106.843427,021 31923394,021 31923394
Kantor Lurah Senen,Jakarta Pusat,Kec. Senen,Kel. Senen ,Jalan Pasar Senen Dalam VI RT.016 RW.04,-6.172479,106.842495,021 42873302,021 42873302
Kantor Lurah Kwitang,Jakarta Pusat,Kec. Senen,Kel. Kwitang,Jl. Kramat IV Ujung No.1 RT.013 RW.06,-6.186738,106.840922,021 3928970,021 3916510
Kantor Lurah Kenari,Jakarta Pusat,Kec. Senen,Kel. Kenari,Jl. Jambrut No. 12,-6.190854,106.846029,021 3913686,021 39123394
Kantor Lurah Paseban,Jakarta Pusat,Kec. Senen,Kel. Paseban,Jl. Paseban Raya No. 71 F-G ,-6.191608,106.853934,021 3905331,021 3905331
Kantor Lurah Bungur,Jakarta Pusat,Kec. Senen,Kel. Bungur,Jl. Kp. Kepu Gg.V No.277 RT. 017/01,-6.168937,106.846254,021 42885235,021 42885235
Kantor Lurah  Kramat,Jakarta Pusat,Kec. Senen,Kel. Kramat  ,JL. Kramat Pulo Dalam II RT.001 RW.06,-6.185297,106.847601,021 3909708,021 3924428
Kantor Camat Cempaka Putih,Jakarta Pusat,Kec. Cempaka Putih,Kel. Cempaka Putih Timur,Jl. Komplek Perkantoran Rawa Kerbau No. 3,-6.184681,106.873222,021 4211583,021 4211583
Kantor Lurah Cempaka Putih Barat,Jakarta Pusat,Kec. Cempaka Putih,Kel. Cempaka Putih Barat,Jl. Cempaka Putih Barat XIX,-6.182591,106.865529,021 4209400,021 4209400
Kantor Lurah Cempaka Putih Timur,Jakarta Pusat,Kec. Cempaka Putih,Kel. Cempaka Putih Timur,Jalan Cempaka Putih Tengah XIII,-6.173749,106.870486,021 4241386,021 4241386
Kantor Lurah Rawasari,Jakarta Pusat,Kec. Cempaka Putih,Kel. Rawasari,Jl. Pramuka Sari 1 No. 1,-6.19033,106.87086,021 4241656,021 42888698
Kantor Camat Menteng,Jakarta Pusat,Kec. Menteng,Kel. Menteng,Jl. Pegangsaan Barat No. 14,-6.199424,106.841338,021 3101738,021 3101738
Kantor Lurah Kebon Sirih,Jakarta Pusat,Kec. Menteng,Kel. Kebon Sirih,Jl. Jaksa No. 8 RT.013 RW. 02,-6.184158,106.829419,021 3908181,021 3908181
